"﻿Generated by WizTree 4.15 10/18/2023 12:50:48 PM (You can hide this message by making a donation)"
"File Name","Size","Allocated","Modified","Attributes","Files","Folders"
"C:\Users\l\Documents\Clean Desktop\Starfield.Digital.Premium.Edition-InsaneRamZes\Data\Starfield - FaceAnimationPatch.ba2","1586438723","1586442240","2023/09/04 17:28:09","262176","0","0"
"C:\Users\l\Documents\Clean Desktop\Starfield.Digital.Premium.Edition-InsaneRamZes\Data\Starfield.esm","1453415548","1453416448","2023/09/04 17:27:00","262176","0","0"
"C:\Users\l\Documents\Clean Desktop\Starfield.Digital.Premium.Edition-InsaneRamZes\Data\Starfield - FaceMeshes.ba2","1297800500","1297801216","2023/09/04 17:56:56","262176","0","0"
"C:\Users\l\Documents\Clean Desktop\Starfield.Digital.Premium.Edition-InsaneRamZes\Data\Starfield - Textures11.ba2","866957696","866959360","2023/09/04 03:00:00","262176","0","0"
"C:\Users\l\Documents\Clean Desktop\Starfield.Digital.Premium.Edition-InsaneRamZes\Data\Starfield - Meshes02.ba2","721221265","721223680","2023/09/04 16:48:44","262176","0","0"
"C:\Users\l\Documents\Clean Desktop\Starfield.Digital.Premium.Edition-InsaneRamZes\Data\Starfield - TexturesPatch.ba2","665580483","665583616","2023/09/04 17:38:33","262176","0","0"
"C:\Users\l\Documents\Clean Desktop\Starfield.Digital.Premium.Edition-InsaneRamZes\Data\Starfield - WwiseSoundsPatch.ba2","616238669","616239104","2023/09/04 17:26:52","262176","0","0"
"C:\Users\l\Documents\Clean Desktop\Starfield.Digital.Premium.Edition-InsaneRamZes\Data\Starfield - MeshesPatch.ba2","358751418","358752256","2023/09/04 16:36:39","262176","0","0"
"C:\Users\l\Documents\Clean Desktop\Starfield.Digital.Premium.Edition-InsaneRamZes\Data\Starfield - Animations.ba2","335402377","335405056","2023/09/04 14:35:53","262176","0","0"
"C:\Users\l\Documents\Clean Desktop\Starfield.Digital.Premium.Edition-InsaneRamZes\Data\BlueprintShips-Starfield.esm","301436758","301436928","2023/09/04 14:30:34","262176","0","0"
"C:\Users\l\Documents\Clean Desktop\Starfield.Digital.Premium.Edition-InsaneRamZes\Data\Starfield - Interface.ba2","116829817","116830208","2023/09/04 17:32:25","262176","0","0"
"C:\Users\l\Documents\Clean Desktop\Starfield.Digital.Premium.Edition-InsaneRamZes\Data\Starfield - Localization.ba2","113959456","113963008","2023/09/04 16:47:48","262176","0","0"
"C:\Users\l\Documents\Clean Desktop\Starfield.Digital.Premium.Edition-InsaneRamZes\Data\Starfield - Particles.ba2","109122738","109125632","2023/09/04 09:57:07","262176","0","0"
"C:\Users\l\Documents\Clean Desktop\Starfield.Digital.Premium.Edition-InsaneRamZes\Data\Starfield - ShadersBeta.ba2","90410768","90411008","2023/09/04 13:39:45","262176","0","0"
